"จังหวัด","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)"
"นครราชสีมา","4,628,006","16%","1,398,488","3,309.29"
"กำแพงเพชร","2,250,642","8%","706,739","3,184.54"
"ชัยภูมิ","1,847,589","6%","648,646","2,848.38"
"กาญจนบุรี","1,643,813","6%","497,377","3,304.96"
"อุบลราชธานี","1,541,735","5%","444,515","3,468.35"
"สระแก้ว","1,138,197","4%","344,405","3,304.82"
"อุดรธานี","1,078,278","4%","308,577","3,494.36"
"นครสวรรค์","1,044,515","4%","359,495","2,905.51"
"บุรีรัมย์","989,256","3%","268,186","3,688.69"
"กาฬสินธุ์","971,296","3%","271,433","3,578.40"
"ลพบุรี","924,160","3%","296,570","3,116.16"
"เลย","880,288","3%","299,470","2,939.49"
"ฉะเชิงเทรา","785,894","3%","217,849","3,607.52"
"ขอนแก่น","758,090","3%","235,940","3,213.06"
"เพชรบูรณ์","723,077","2%","230,257","3,140.30"
"ศรีสะเกษ","619,111","2%","191,566","3,231.84"
"ชลบุรี","586,686","2%","151,573","3,870.65"
"อุทัยธานี","553,312","2%","174,838","3,164.71"
"พิษณุโลก","519,398","2%","163,938","3,168.26"
"สุรินทร์","496,180","2%","135,004","3,675.30"
"มหาสารคาม","488,907","2%","152,859","3,198.42"
"ตาก","435,333","2%","134,064","3,247.20"
"มุกดาหาร","417,575","1%","123,749","3,374.37"
"ปราจีนบุรี","396,738","1%","110,612","3,586.75"
"สกลนคร","388,089","1%","124,520","3,116.68"
"อำนาจเจริญ","321,410","1%","102,105","3,147.84"
"ยโสธร","305,904","1%","88,325","3,463.39"
"ราชบุรี","275,804","1%","83,460","3,304.62"
"สุโขทัย","253,555","1%","84,733","2,992.40"
"ร้อยเอ็ด","218,292","1%","62,703","3,481.36"
"หนองบัวลำภู","191,754","1%","61,308","3,127.72"
"สุพรรณบุรี","167,623","1%","54,129","3,096.73"
"ชัยนาท","159,796","1%","64,160","2,490.59"
"ระยอง","152,180","1%","36,595","4,158.49"
"สระบุรี","120,123","0%","40,062","2,998.43"
"ลำปาง","114,852","0%","39,782","2,887.03"
"อุตรดิตถ์","87,799","0%","27,472","3,195.94"
"เชียงราย","81,250","0%","31,598","2,571.37"
"แพร่","72,560","0%","24,531","2,957.89"
"น่าน","67,058","0%","23,323","2,875.19"
"นครพนม","62,183","0%","23,186","2,681.92"
"พะเยา","57,807","0%","21,112","2,738.11"
"จันทบุรี","57,669","0%","16,981","3,396.09"
"พิจิตร","42,479","0%","13,665","3,108.60"
"หนองคาย","31,428","0%","10,494","2,994.85"
"บึงกาฬ","18,076","0%","6,318","2,861.03"
"เพชรบุรี","10,899","0%","3,844","2,835.33"
"เชียงใหม่","10,468","0%","3,579","2,924.84"
"ลำพูน","8,136","0%","3,041","2,675.44"
"ประจวบคีรีขันธ์","3,054","0%","842","3,627.08"
"นครนายก","777","0%","219","3,547.95"
"อยุธยา","21","0%","13","1,615.38"
"นครนายก","777","0%","219","3,547.95"
"อยุธยา","21","0%","13","1,615.38"
