"จังหวัด","ปี","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)","","","","","","","","","","","","",""
"นครราชสีมา","2021","5,507,286","16%","1,548,240","3,557.13","","","","","","","","","","","","",""
"ชัยภูมิ","2021","2,533,502","7%","731,837","3,461.84","","","","","","","","","","","","",""
"กำแพงเพชร","2021","2,403,525","7%","761,358","3,156.89","","","","","","","","","","","","",""
"กาญจนบุรี","2021","1,901,962","5%","558,026","3,408.38","","","","","","","","","","","","",""
"อุบลราชธานี","2021","1,759,654","5%","503,740","3,493.18","","","","","","","","","","","","",""
"อุดรธานี","2021","1,484,884","4%","418,325","3,549.59","","","","","","","","","","","","",""
"นครสวรรค์","2021","1,472,476","4%","479,065","3,073.65","","","","","","","","","","","","",""
"บุรีรัมย์","2021","1,394,821","4%","373,106","3,738.40","","","","","","","","","","","","",""
"ลพบุรี","2021","1,171,314","3%","364,140","3,216.66","","","","","","","","","","","","",""
"สระแก้ว","2021","1,084,232","3%","319,258","3,396.10","","","","","","","","","","","","",""
"กาฬสินธุ์","2021","1,056,100","3%","294,142","3,590.44","","","","","","","","","","","","",""
"เลย","2021","958,704","3%","314,642","3,046.97","","","","","","","","","","","","",""
"เพชรบูรณ์","2021","919,600","3%","281,426","3,267.64","","","","","","","","","","","","",""
"ขอนแก่น","2021","876,223","3%","264,781","3,309.24","","","","","","","","","","","","",""
"อุทัยธานี","2021","839,711","2%","258,304","3,250.86","","","","","","","","","","","","",""
"ฉะเชิงเทรา","2021","760,895","2%","209,432","3,633.14","","","","","","","","","","","","",""
"ศรีสะเกษ","2021","704,785","2%","212,891","3,310.54","","","","","","","","","","","","",""
"ตาก","2021","648,994","2%","201,950","3,213.64","","","","","","","","","","","","",""
"พิษณุโลก","2021","597,748","2%","185,771","3,217.66","","","","","","","","","","","","",""
"ชลบุรี","2021","581,448","2%","147,969","3,929.53","","","","","","","","","","","","",""
"มหาสารคาม","2021","554,045","2%","169,540","3,267.93","","","","","","","","","","","","",""
"สุรินทร์","2021","549,522","2%","156,807","3,504.45","","","","","","","","","","","","",""
"สกลนคร","2021","501,954","1%","156,343","3,210.59","","","","","","","","","","","","",""
"มุกดาหาร","2021","461,580","1%","136,871","3,372.37","","","","","","","","","","","","",""
"อำนาจเจริญ","2021","432,265","1%","130,579","3,310.37","","","","","","","","","","","","",""
"ปราจีนบุรี","2021","396,622","1%","109,099","3,635.43","","","","","","","","","","","","",""
"ยโสธร","2021","361,800","1%","102,498","3,529.82","","","","","","","","","","","","",""
"สุพรรณบุรี","2021","328,753","1%","103,137","3,187.54","","","","","","","","","","","","",""
"หนองบัวลำภู","2021","319,147","1%","96,391","3,310.96","","","","","","","","","","","","",""
"สุโขทัย","2021","300,048","1%","100,013","3,000.09","","","","","","","","","","","","",""
"ราชบุรี","2021","293,254","1%","86,832","3,377.26","","","","","","","","","","","","",""
"ลำปาง","2021","256,789","1%","83,350","3,080.85","","","","","","","","","","","","",""
"ร้อยเอ็ด","2021","250,118","1%","70,642","3,540.64","","","","","","","","","","","","",""
"น่าน","2021","190,360","1%","64,412","2,955.35","","","","","","","","","","","","",""
"ชัยนาท","2021","185,916","1%","76,262","2,437.86","","","","","","","","","","","","",""
"สระบุรี","2021","159,980","0%","52,238","3,062.52","","","","","","","","","","","","",""
"ระยอง","2021","150,008","0%","36,931","4,061.85","","","","","","","","","","","","",""
"เชียงราย","2021","144,414","0%","49,861","2,896.33","","","","","","","","","","","","",""
"อุตรดิตถ์","2021","128,604","0%","39,370","3,266.55","","","","","","","","","","","","",""
"พะเยา","2021","91,961","0%","31,914","2,881.53","","","","","","","","","","","","",""
"แพร่","2021","90,413","0%","31,016","2,915.04","","","","","","","","","","","","",""
"นครพนม","2021","70,658","0%","24,430","2,892.26","","","","","","","","","","","","",""
"หนองคาย","2021","65,870","0%","20,629","3,193.08","","","","","","","","","","","","",""
"พิจิตร","2021","49,804","0%","16,132","3,087.28","","","","","","","","","","","","",""
"จันทบุรี","2021","33,451","0%","9,789","3,417.20","","","","","","","","","","","","",""
"บึงกาฬ","2021","20,573","0%","7,161","2,872.92","","","","","","","","","","","","",""
"เชียงใหม่","2021","19,911","0%","6,328","3,146.49","","","","","","","","","","","","",""
"ลำพูน","2021","12,412","0%","4,017","3,089.87","","","","","","","","","","","","",""
"เพชรบุรี","2021","11,794","0%","4,015","2,937.48","","","","","","","","","","","","",""
"ประจวบคีรีขันธ์","2021","3,191","0%","883","3,613.82","","","","","","","","","","","","",""
"นครนายก","2021","1,288","0%","376","3,425.53","","","","","","","","","","","","",""
"สิงห์บุรี","2021","65","0%","17","3,823.53","","","","","","","","","","","","",""
"อยุธยา","2021","30","0%","17","1,764.71","","","","","","","","","","","","",""
"นครปฐม","2021","21","0%","11","1,909.09","","","","","","","","","","","","",""
"อยุธยา","2021","30","0%","17","1,764.71","","","","","","","","","","","","",""
"นครปฐม","2021","21","0%","11","1,909.09","","","","","","","","","","","","",""
