"จังหวัด","ปี","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)","","","","","","","","","","",""
"นครราชสีมา","2022","4,929,829","15%","1,431,521","3,443.77","","","","","","","","","","",""
"กำแพงเพชร","2022","2,392,445","7%","717,392","3,334.92","","","","","","","","","","",""
"อุบลราชธานี","2022","1,885,648","6%","523,248","3,603.74","","","","","","","","","","",""
"กาญจนบุรี","2022","1,863,491","5%","536,533","3,473.21","","","","","","","","","","",""
"ชัยภูมิ","2022","1,795,560","5%","557,401","3,221.31","","","","","","","","","","",""
"อุดรธานี","2022","1,589,487","5%","425,702","3,733.80","","","","","","","","","","",""
"นครสวรรค์","2022","1,427,109","4%","445,678","3,202.11","","","","","","","","","","",""
"บุรีรัมย์","2022","1,386,885","4%","358,076","3,873.16","","","","","","","","","","",""
"ลพบุรี","2022","1,111,557","3%","357,228","3,111.62","","","","","","","","","","",""
"กาฬสินธุ์","2022","1,057,315","3%","287,706","3,674.98","","","","","","","","","","",""
"เลย","2022","1,029,475","3%","320,088","3,216.22","","","","","","","","","","",""
"สระแก้ว","2022","989,145","3%","294,206","3,362.08","","","","","","","","","","",""
"เพชรบูรณ์","2022","987,162","3%","283,577","3,481.11","","","","","","","","","","",""
"ขอนแก่น","2022","891,604","3%","265,059","3,363.79","","","","","","","","","","",""
"อุทัยธานี","2022","801,711","2%","240,143","3,338.47","","","","","","","","","","",""
"ฉะเชิงเทรา","2022","708,124","2%","192,753","3,673.74","","","","","","","","","","",""
"ศรีสะเกษ","2022","698,448","2%","202,080","3,456.29","","","","","","","","","","",""
"ตาก","2022","690,303","2%","204,305","3,378.79","","","","","","","","","","",""
"พิษณุโลก","2022","622,282","2%","189,292","3,287.42","","","","","","","","","","",""
"ชลบุรี","2022","583,297","2%","142,842","4,083.51","","","","","","","","","","",""
"มหาสารคาม","2022","544,279","2%","165,049","3,297.68","","","","","","","","","","",""
"สุรินทร์","2022","523,472","2%","142,656","3,669.47","","","","","","","","","","",""
"สกลนคร","2022","522,468","2%","159,917","3,267.12","","","","","","","","","","",""
"มุกดาหาร","2022","477,769","1%","133,852","3,569.38","","","","","","","","","","",""
"อำนาจเจริญ","2022","462,839","1%","134,840","3,432.51","","","","","","","","","","",""
"ปราจีนบุรี","2022","389,639","1%","104,382","3,732.82","","","","","","","","","","",""
"ยโสธร","2022","352,421","1%","98,584","3,574.83","","","","","","","","","","",""
"หนองบัวลำภู","2022","348,232","1%","98,893","3,521.30","","","","","","","","","","",""
"สุพรรณบุรี","2022","310,119","1%","95,407","3,250.48","","","","","","","","","","",""
"ราชบุรี","2022","303,881","1%","88,294","3,441.69","","","","","","","","","","",""
"สุโขทัย","2022","303,835","1%","97,525","3,115.46","","","","","","","","","","",""
"ลำปาง","2022","275,934","1%","86,567","3,187.52","","","","","","","","","","",""
"ร้อยเอ็ด","2022","234,384","1%","65,562","3,575.00","","","","","","","","","","",""
"ชัยนาท","2022","226,289","1%","76,649","2,952.28","","","","","","","","","","",""
"น่าน","2022","220,969","1%","71,239","3,101.80","","","","","","","","","","",""
"สระบุรี","2022","172,100","1%","53,325","3,227.38","","","","","","","","","","",""
"เชียงราย","2022","154,054","0%","50,439","3,054.26","","","","","","","","","","",""
"อุตรดิตถ์","2022","139,992","0%","41,265","3,392.51","","","","","","","","","","",""
"ระยอง","2022","111,954","0%","26,116","4,286.80","","","","","","","","","","",""
"พะเยา","2022","98,679","0%","32,141","3,070.19","","","","","","","","","","",""
"แพร่","2022","97,520","0%","31,694","3,076.92","","","","","","","","","","",""
"นครพนม","2022","82,485","0%","26,868","3,070.01","","","","","","","","","","",""
"หนองคาย","2022","66,127","0%","19,589","3,375.72","","","","","","","","","","",""
"พิจิตร","2022","51,171","0%","16,204","3,157.92","","","","","","","","","","",""
"เชียงใหม่","2022","22,510","0%","6,979","3,225.39","","","","","","","","","","",""
"บึงกาฬ","2022","22,015","0%","7,587","2,901.67","","","","","","","","","","",""
"จันทบุรี","2022","18,321","0%","5,109","3,586.02","","","","","","","","","","",""
"ลำพูน","2022","14,615","0%","4,597","3,179.25","","","","","","","","","","",""
"เพชรบุรี","2022","13,034","0%","4,320","3,017.13","","","","","","","","","","",""
"ประจวบคีรีขันธ์","2022","3,324","0%","892","3,726.46","","","","","","","","","","",""
"นครนายก","2022","1,105","0%","312","3,541.67","","","","","","","","","","",""
"สิงห์บุรี","2022","81","0%","21","3,857.14","","","","","","","","","","",""
"อยุธยา","2022","38","0%","21","1,809.52","","","","","","","","","","",""
"สิงห์บุรี","2022","81","0%","21","3,857.14","","","","","","","","","","",""
"อยุธยา","2022","38","0%","21","1,809.52","","","","","","","","","","",""
